_id,id,category,cost_price,created_at,date,invoice_no,name,notes,qty,sku,supplier,total_cost,unit,item_id,item_name,item_sku,_migrated_at,_migrated_from
"6a89a24c3fb8c43ecce7bf2d","in_1785868961589","","0","2026-08-04T18:42:41.590Z","04-08-2026","","","","3","","","0","kg","stk_80","Carrot","J080","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf2e","in_1785868986681","","0","2026-08-04T18:43:06.681Z","04-08-2026","","","","2.5","","","0","kg","stk_82","Green Chilli (কাঁচা লঙ্কা)","J082","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf2f","in_1785869012766","","0","2026-08-04T18:43:32.766Z","04-08-2026","","","","5","","","0","kg","stk_83","Tomato (টমেটো)","J083","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf30","in_1785869053424","","0","2026-08-04T18:44:13.425Z","04-08-2026","","","","10","","","0","kg","stk_84","Cabbage (বাঁধাকপি)","J084","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf31","in_1785869072068","","0","2026-08-04T18:44:32.068Z","04-08-2026","","","","50","","","0","pcs","stk_85","Lemon (লেবু)","J085","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf32","in_1785869091357","","0","2026-08-04T18:44:51.357Z","04-08-2026","","","","9","","","0","kg","stk_86","Dhania Pata (Coriander)","J086","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf33","in_1785869141952","","0","2026-08-04T18:45:41.952Z","04-08-2026","","","","5","","","0","kg","stk_88","Cucumber (শসা)","J088","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf34","in_1785869360353","","0","2026-08-04T18:49:20.353Z","04-08-2026","","","","1","","","0","kg","stk_83","Tomato (টমেটো)","J083","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf35","in_1785870020726","","0","2026-08-04T19:00:20.726Z","04-08-2026","","","","3","","","0","packet","stk_54","Milk (দুধ)","J054","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24c3fb8c43ecce7bf36","in_1785870126651","","0","2026-08-04T19:02:06.651Z","04-08-2026","","","","16","","","0","kg","stk_55","Dahi (দই / Curd)","J055","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf37","in_1785940034958","","0","2026-08-05T14:27:14.958Z","05-08-2026","","","","1000","","","0","g","stk_27","Dry Chilli","J027","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf38","in_1785942899649","","0","2026-08-05T15:14:59.650Z","05-08-2026","","","","3","","","0","packet","stk_1785942899649","rabar hand glove","J135","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
